Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint4>,valid,128390,1230.7368755340576
<http://SGKG4.org/shapes/Constraint1>,valid,19849,346.16837906837463
<http://SGKG4.org/shapes/Constraint2>,valid,55942,666.9105851650238
<http://SGKG4.org/shapes/Constraint5>,valid,152952,1550.5432047843933
<http://SGKG4.org/shapes/Constraint5>,valid,166379,1550.6082029342651
<http://SGKG4.org/shapes/Constraint1>,valid,17361,346.14631748199463
<http://SGKG4.org/shapes/Constraint1>,valid,17641,346.1483211517334
<http://SGKG4.org/shapes/Constraint5>,valid,153550,1550.5462021827698
<http://SGKG4.org/shapes/Constraint4>,valid,118377,1230.690928220749
<http://SGKG4.org/shapes/Constraint1>,valid,15645,346.1333198547363
<http://SGKG4.org/shapes/Constraint2>,valid,46463,666.8685500621796
<http://SGKG4.org/shapes/Constraint2>,valid,37902,666.8323991298676
<http://SGKG4.org/shapes/Constraint1>,valid,13737,346.12132692337036
<http://SGKG4.org/shapes/Constraint4>,valid,130531,1230.7468748092651
<http://SGKG4.org/shapes/Constraint1>,valid,506,346.03544068336487
<http://SGKG4.org/shapes/Constraint1>,valid,15218,346.1313261985779
<http://SGKG4.org/shapes/Constraint5>,valid,152768,1550.5422022342682
<http://SGKG4.org/shapes/Constraint3>,valid,91602,951.5184509754181
<http://SGKG4.org/shapes/Constraint5>,violated,136573,1550.4671702384949
<http://SGKG4.org/shapes/Constraint3>,valid,90018,951.512449502945
<http://SGKG4.org/shapes/Constraint3>,valid,86344,951.4994494915009
<http://SGKG4.org/shapes/Constraint2>,valid,42786,666.8535847663879
<http://SGKG4.org/shapes/Constraint4>,valid,130027,1230.74387550354
<http://SGKG4.org/shapes/Constraint5>,valid,149170,1550.5271997451782
<http://SGKG4.org/shapes/Constraint4>,valid,129526,1230.74187541008
<http://SGKG4.org/shapes/Constraint3>,violated,71060,951.4404854774475
<http://SGKG4.org/shapes/Constraint5>,valid,158228,1550.572170495987
<http://SGKG4.org/shapes/Constraint1>,valid,8432,346.08836126327515
<http://SGKG4.org/shapes/Constraint2>,valid,42008,666.8503997325897
<http://SGKG4.org/shapes/Constraint3>,valid,84081,951.4914498329163
<http://SGKG4.org/shapes/Constraint4>,valid,104783,1230.6318786144257
<http://SGKG4.org/shapes/Constraint2>,valid,53088,666.8965525627136
<http://SGKG4.org/shapes/Constraint2>,valid,41830,666.849363565445
<http://SGKG4.org/shapes/Constraint2>,valid,39370,666.8393983840942
<http://SGKG4.org/shapes/Constraint4>,valid,105590,1230.6349136829376
<http://SGKG4.org/shapes/Constraint1>,valid,23695,346.19140672683716
<http://SGKG4.org/shapes/Constraint3>,violated,69493,951.4334905147552
<http://SGKG4.org/shapes/Constraint1>,valid,26376,346.207407951355
<http://SGKG4.org/shapes/Constraint1>,valid,18833,346.1573257446289
<http://SGKG4.org/shapes/Constraint2>,valid,60663,666.9301810264587
<http://SGKG4.org/shapes/Constraint5>,valid,156217,1550.5582029819489
<http://SGKG4.org/shapes/Constraint4>,valid,122401,1230.710927248001
<http://SGKG4.org/shapes/Constraint3>,valid,88717,951.5084509849548
<http://SGKG4.org/shapes/Constraint3>,valid,99650,951.5484848022461
<http://SGKG4.org/shapes/Constraint5>,violated,136149,1550.465171098709
<http://SGKG4.org/shapes/Constraint5>,valid,151295,1550.5361685752869
<http://SGKG4.org/shapes/Constraint1>,valid,10594,346.1013615131378
<http://SGKG4.org/shapes/Constraint1>,valid,23230,346.18841767311096
<http://SGKG4.org/shapes/Constraint4>,valid,121008,1230.7028765678406
<http://SGKG4.org/shapes/Constraint4>,valid,134447,1230.7628750801086
<http://SGKG4.org/shapes/Constraint5>,valid,140859,1550.4911668300629
<http://SGKG4.org/shapes/Constraint5>,valid,168647,1550.618204832077
<http://SGKG4.org/shapes/Constraint1>,valid,15174,346.1303267478943
<http://SGKG4.org/shapes/Constraint1>,valid,9865,346.09734869003296
<http://SGKG4.org/shapes/Constraint4>,valid,114942,1230.676873922348
<http://SGKG4.org/shapes/Constraint4>,valid,127549,1230.7338752746582
<http://SGKG4.org/shapes/Constraint1>,valid,22777,346.18541860580444
<http://SGKG4.org/shapes/Constraint5>,valid,140818,1550.4911668300629
<http://SGKG4.org/shapes/Constraint2>,valid,61777,666.9341788291931
<http://SGKG4.org/shapes/Constraint3>,violated,75940,951.4594497680664
