dataset,model,hits_at_1,hits_at_3,hits_at_5,hits_at_10,mrr,count
french_royalty/normalized,CompGCN,0.1833810888252149,0.42893982808022924,0.5,0.5965616045845272,0.3350389301776886,3490.0
french_royalty/normalized,TuckER,0.4320916905444126,0.6329512893982808,0.6808022922636103,0.7340974212034383,0.5458487868309021,3490.0
french_royalty/pygraft,CompGCN,0.0781491002570694,0.08457583547557841,0.08663239074550129,0.09125964010282776,0.08639441430568695,3890.0
french_royalty/pygraft,TuckER,0.12699228791773778,0.12982005141388175,0.13187660668380463,0.13573264781491,0.1329558789730072,3890.0
french_royalty/skgg,CompGCN,0.1266437964551172,0.29874213836477986,0.3467695826186392,0.42710120068610635,0.23821881413459778,3498.0
french_royalty/skgg,TuckER,0.18267581475128644,0.31761006289308175,0.3699256718124643,0.4362492853058891,0.27306219935417175,3498.0
